User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus
123,perfect-forward-backward,search box,0,2017-12-28 18:41:39 +0900,2017-12-28 18:41:39 +0900,0,0
123,perfect-forward-backward,search box,0,2017-12-28 18:52:54 +0900,2017-12-28 18:52:54 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-28 18:52:54 +0900,2017-12-28 18:52:55 +0900,38,1
876,perfect-forward-backward,search box,0,2017-12-28 18:53:28 +0900,2017-12-28 18:53:28 +0900,0,0
876,perfect-forward-backward,search box,0,2017-12-28 18:53:29 +0900,2017-12-28 18:53:29 +0900,0,0
876,perfect-forward-backward,search box,1,2017-12-28 18:53:29 +0900,2017-12-28 18:53:40 +0900,289,1
876,perfect-forward-backward,search box,1,2017-12-28 18:53:29 +0900,2017-12-28 18:53:41 +0900,289,1
123,perfect-forward-backward,search box,0,2017-12-28 19:20:40 +0900,2017-12-28 19:20:40 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-28 19:20:40 +0900,2017-12-28 19:20:52 +0900,965,0
2124064,perfect-forward-backward,search box,0,2017-12-28 19:21:07 +0900,2017-12-28 19:21:07 +0900,0,0
2124064,perfect-forward-backward,search box,1,2017-12-28 19:21:07 +0900,2017-12-28 19:21:08 +0900,21,1
2124064,perfect-forward-backward,search box,0,2017-12-28 19:21:12 +0900,2017-12-28 19:21:12 +0900,0,0
2124064,perfect-forward-backward,search box,1,2017-12-28 19:21:12 +0900,2017-12-28 19:21:25 +0900,965,0
2124064,perfect-forward-backward,Narrow Term,0,2017-12-28 19:23:04 +0900,2017-12-28 19:23:04 +0900,0,0
2124064,perfect-forward-backward,Narrow Term,1,2017-12-28 19:23:04 +0900,2017-12-28 19:23:06 +0900,71,0
2124064,perfect-forward-backward,search box,0,2017-12-28 19:24:45 +0900,2017-12-28 19:24:45 +0900,0,0
2124064,perfect-forward-backward,search box,1,2017-12-28 19:24:45 +0900,2017-12-28 19:24:46 +0900,21,1
2124064,perfect-forward-backward,search box,0,2017-12-28 19:24:53 +0900,2017-12-28 19:24:53 +0900,0,0
2124064,perfect-forward-backward,search box,1,2017-12-28 19:24:53 +0900,2017-12-28 19:25:00 +0900,450,1
2124064,perfect-forward-backward,Narrow Term,0,2017-12-28 19:25:27 +0900,2017-12-28 19:25:27 +0900,0,0
2124064,perfect-forward-backward,Narrow Term,1,2017-12-28 19:25:27 +0900,2017-12-28 19:25:27 +0900,0,0
2124064,perfect-forward-backward,search box,0,2017-12-28 19:26:04 +0900,2017-12-28 19:26:04 +0900,0,0
2124064,perfect-forward-backward,search box,1,2017-12-28 19:26:04 +0900,2017-12-28 19:26:11 +0900,375,1
2124064,perfect-forward-backward,search box,0,2017-12-28 19:30:08 +0900,2017-12-28 19:30:08 +0900,0,0
2124064,perfect-forward-backward,search box,1,2017-12-28 19:30:08 +0900,2017-12-28 19:30:15 +0900,375,1
123,perfect-forward-backward,search box,0,2017-12-28 19:35:28 +0900,2017-12-28 19:35:28 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-28 19:35:28 +0900,2017-12-28 19:35:29 +0900,21,1
123,perfect-forward-backward,search box,0,2017-12-28 19:35:40 +0900,2017-12-28 19:35:40 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-28 19:35:40 +0900,2017-12-28 19:35:49 +0900,443,1
123,perfect-forward-backward,search box,0,2017-12-28 19:35:55 +0900,2017-12-28 19:35:55 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-28 19:35:55 +0900,2017-12-28 19:36:04 +0900,443,1
212,perfect-forward-backward,search box,0,2017-12-28 19:37:07 +0900,2017-12-28 19:37:07 +0900,0,0
212,perfect-forward-backward,search box,1,2017-12-28 19:37:07 +0900,2017-12-28 19:37:16 +0900,443,1
123,perfect-forward-backward,search box,0,2017-12-28 19:51:07 +0900,2017-12-28 19:51:07 +0900,0,0
123,perfect-forward-backward,search box,1,2017-12-28 19:51:07 +0900,2017-12-28 19:51:08 +0900,21,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:15:09 +0900,2017-12-29 10:15:09 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:15:09 +0900,2017-12-29 10:15:16 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:15:32 +0900,2017-12-29 10:15:32 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:15:32 +0900,2017-12-29 10:15:41 +0900,443,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:16:18 +0900,2017-12-29 10:16:18 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:16:18 +0900,2017-12-29 10:16:25 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:16:42 +0900,2017-12-29 10:16:42 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:16:42 +0900,2017-12-29 10:16:51 +0900,443,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:18:01 +0900,2017-12-29 10:18:01 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:18:01 +0900,2017-12-29 10:18:10 +0900,443,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:18:13 +0900,2017-12-29 10:18:13 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:18:13 +0900,2017-12-29 10:18:20 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:18:48 +0900,2017-12-29 10:18:48 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:18:48 +0900,2017-12-29 10:18:56 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:31:55 +0900,2017-12-29 10:31:55 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:31:55 +0900,2017-12-29 10:32:03 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:32:13 +0900,2017-12-29 10:32:13 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:32:13 +0900,2017-12-29 10:32:22 +0900,443,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:32:48 +0900,2017-12-29 10:32:48 +0900,0,0
2127797,perfect-forward-backward,search box,0,2017-12-29 10:32:51 +0900,2017-12-29 10:32:51 +0900,0,0
2127797,perfect-forward-backward,search box,1,2017-12-29 10:32:51 +0900,2017-12-29 10:32:58 +0900,450,1
2127797,perfect-forward-backward,search box,1,2017-12-29 10:32:51 +0900,2017-12-29 10:33:02 +0900,450,1
2127797,perfect-forward-backward,search box,0,2017-12-29 10:33:21 +0900,2017-12-29 10:33:21 +0900,0,0
