User,Search Pattern,Search Type,Start End,Start Time,End Time,Result Count,TheSaurus,Search Term,sales_min,sales_max,profits_min,profits_max,employee_min,employee_max,tse33,prefectures,status
123,perfect-forward-backward,search box,0,2018-01-11 16:40:32 +0900,2018-01-11 16:40:32 +0900,0,0,センサ,,,,,,,,,
123,perfect-forward-backward,search box,0,2018-01-11 16:41:33 +0900,2018-01-11 16:41:33 +0900,0,0,センサ,3,4,3,4,3,4,3250: 医薬品,北海道,上場会社
123,perfect-forward-backward,search box,1,2018-01-11 16:41:33 +0900,2018-01-11 16:47:41 +0900,0,1,センサ,3,4,3,4,3,4,3250: 医薬品,北海道,上場会社
1234567,perfect-forward-backward,search box,0,2018-01-11 16:53:04 +0900,2018-01-11 16:53:04 +0900,0,0,センサ,1,4,1,4,1,4,4050: 電気・ガス業,宮城県,非上場会社
1234567,perfect-forward-backward,search box,1,2018-01-11 16:53:04 +0900,2018-01-11 16:53:09 +0900,0,1,センサ,1,4,1,4,1,4,4050: 電気・ガス業,宮城県,非上場会社
1234567,perfect-forward-backward,search box,0,2018-01-11 16:53:54 +0900,2018-01-11 16:53:54 +0900,0,0,センサ,1,4,1,4,1,4,4050: 電気・ガス業,宮城県,非上場会社
1234567,perfect-forward-backward,search box,1,2018-01-11 16:53:54 +0900,2018-01-11 16:53:59 +0900,0,1,センサ,1,4,1,4,1,4,4050: 電気・ガス業,宮城県,非上場会社
1234567,perfect-forward-backward,search box,0,2018-01-12 10:57:56 +0900,2018-01-12 10:57:56 +0900,0,0,センサ,,,,,,,,,
1234567,perfect-forward-backward,search box,1,2018-01-12 10:57:56 +0900,2018-01-12 10:58:07 +0900,443,1,センサ,,,,,,,,,
mizuTest,perfect-forward-backward,search box,0,2018-01-12 11:11:24 +0900,2018-01-12 11:11:24 +0900,0,0,変速操作,,,,,,,,,
mizuTest,perfect-forward-backward,search box,1,2018-01-12 11:11:24 +0900,2018-01-12 11:11:25 +0900,3,0,変速操作,,,,,,,,,
FTF,perfect-forward-backward,search box,0,2018-01-12 11:15:40 +0900,2018-01-12 11:15:40 +0900,0,0,センサ,100,1500,100,1500,1,10000,,東京都,
FTF,perfect-forward-backward,search box,1,2018-01-12 11:15:40 +0900,2018-01-12 11:15:48 +0900,0,1,センサ,100,1500,100,1500,1,10000,,東京都,
FTF,perfect-forward-backward,search box,0,2018-01-12 11:16:02 +0900,2018-01-12 11:16:02 +0900,0,0,センサ,100,,100,,,,,東京都,
FTF,perfect-forward-backward,search box,1,2018-01-12 11:16:02 +0900,2018-01-12 11:16:14 +0900,153,1,センサ,100,,100,,,,,東京都,
FTF,perfect-forward-backward,Narrow Term,0,2018-01-12 11:16:56 +0900,2018-01-12 11:16:56 +0900,0,0,圧力センサ,100,,100,,,,,東京都,
FTF,perfect-forward-backward,Narrow Term,1,2018-01-12 11:16:56 +0900,2018-01-12 11:16:57 +0900,10,1,圧力センサ,100,,100,,,,,東京都,
FTF,perfect-forward-backward,Broader Term,0,2018-01-12 11:17:18 +0900,2018-01-12 11:17:18 +0900,0,0,センサ,,,,,,,,東京都,
FTF,perfect-forward-backward,Broader Term,1,2018-01-12 11:17:18 +0900,2018-01-12 11:17:28 +0900,207,1,センサ,,,,,,,,東京都,
FTF,perfect-forward-backward,Synonym,0,2018-01-12 11:17:31 +0900,2018-01-12 11:17:31 +0900,0,0,感応器,,,,,,,,東京都,
